Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women,Original Industry
paypal-careers-8863,Diversified Financials,45%,40%,Technology
forcepoint-careers-23741,Software & Services,-,23%,Technology
burroughs-careers-17645,Software & Services,27%,-,Technology
commvault-careers-2755,Software & Services,30%,21%,Technology
adobe-careers-189,Software & Services,41%,44%,Technology
axon-careers-1205,Software & Services,34%,26%,Technology
gartner-careers-4838,Commercial & Professional Services,41%,29%,Technology
workday-careers-12904,Software & Services,44%,47%,Technology
blackline-careers-1586,Software & Services,37%,41%,Technology
salesforce-careers-10060,Software & Services,38%,26%,Technology
lockheed-martin-careers-6899,Commercial & Professional Services,29%,28%,Technology
intuit-careers-6190,Software & Services,45%,45%,Technology
cree-careers-3054,Consumer Durables & Apparel,37%,13%,Technology
sap-america-careers-37598,Software & Services,34%,42%,Technology
liveperson-careers-6888,Software & Services,33%,27%,Technology
northrop-grumman-careers-8276,Commercial & Professional Services,29%,25%,Technology
