Job Title,Company Name,Date,Job Link
Chief Operating Officer (COO),Goodville Mutual Casualty Company,4/5/23,https://www.linkedin.com/jobs/view/chief-operating-officer-coo-at-goodville-mutual-casualty-company-3558659902?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=sQHTx4gUoa067sQzHFqLaA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
VP of Marketing,Starface World,4/4/23,https://www.linkedin.com/jobs/view/vp-of-marketing-at-starface-world-3554734432?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=raH5OspHS3TDJY79dF2CCg%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Chief Executive Officer,Reunion Rehabilitation Hospitals,4/4/23,https://www.linkedin.com/jobs/view/chief-executive-officer-at-reunion-rehabilitation-hospitals-3554711180?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=ifheMz2wjG8RDvxVrFvzxw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Vice President Human Resources,Confidential,4/4/23,https://www.linkedin.com/jobs/view/vice-president-human-resources-at-confidential-3556926606?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=m8mUAyZZ8ejs%2F6C2HoRM%2Fg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Construction Senior Vice President,ROBERTS PROPERTIES LIMITED,4/5/23,https://www.linkedin.com/jobs/view/construction-senior-vice-president-at-roberts-properties-limited-3558503076?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=uwP8JzZLcxLinQowSiJ%2Fiw%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
General Manager,Redi Carpet,4/2/23,https://www.linkedin.com/jobs/view/general-manager-at-redi-carpet-3553991288?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=Sh%2BbIof%2Fw%2F6ydVgIyLc%2B6Q%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Independent Recruiter,Cyberjin,3/31/23,https://www.linkedin.com/jobs/view/independent-recruiter-at-cyberjin-3551264952?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=9BC5xo3YwLcw3%2Bs5ahHijQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Chief Operating Officer (COO),Goodville Mutual Casualty Company,4/5/23,https://www.linkedin.com/jobs/view/chief-operating-officer-coo-at-goodville-mutual-casualty-company-3558660664?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=qL2%2B4thh17jNS8lxPRltcQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
"Vice President, Sales & Business Development (US)",WiTricity,4/4/23,https://www.linkedin.com/jobs/view/vice-president-sales-business-development-us-at-witricity-3556882254?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=9Wi5bTMyZl%2FH8DZsB8HQrA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Vice President of Operations-Must Have Recent Experience in the Fragrance Industry,"Carrie Rikon & Associates, LLC",3/31/23,https://www.linkedin.com/jobs/view/vice-president-of-operations-must-have-recent-experience-in-the-fragrance-industry-at-carrie-rikon-associates-llc-3550474331?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=hEeBsfT7FK6nclFOVOefww%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
