Industry,Female_Employee_Percentage,Male_Employee_Percentage,Female_LIWC,Male_LIWC
Government,0.46,0.54,0,0.19
Government,0.65,0.35,0,0.12
Government,0.3,0.7,0,0.05
Government,0.44,0.56,0.19,0.19
Government,0.59,0.41,0,0.19
Government,0.44,0.56,0,0.19
Government,0.74,0.26,0,0.19
Government,0.39,0.61,0,0.19
Government,0.52,0.48,0,0.19
Government,0.57,0.43,0,0.19
Government,0.37,0.63,0,0.19
Government,0.26,0.74,0,0.19
Government,0.56,0.44,0.13,0.13
Government,0.49,0.51,0,0
Government,0.42,0.58,0,0
Government,0.42,0.58,0.16,0
Government,0.58,0.42,0,0.09
Government,0.32,0.68,0,0.08
Government,0.5,0.5,0,0.06
Government,0.5,0.5,0,0.43
Government,0.48,0.52,0,0.08
Government,0.46,0.54,0.28,0.06
Government,0.31,0.69,0,0
Government,0.57,0.43,0,0.31
Government,0.41,0.59,0,0.06
Government,0.44,0.56,0,0.06
Government,0.47,0.53,0,0.07
Government,0.67,0.33,0,0.29
Government,0.47,0.53,0,0.12
Government,0.45,0.55,0.29,0.14
Government,0.54,0.46,0,0.08
Government,0.47,0.53,0,0
Government,0.51,0.49,0,0
Government,0.43,0.57,0,0.27
Government,0.43,0.57,0,0.27
Government,0.6,0.4,0,0.27
Government,0.25,0.75,0,0.27
Government,0.4,0.6,0,0.27
Government,0.59,0.41,0,0.27
Government,0.5,0.5,0,0.27
Government,0.69,0.31,0,0.27
Government,0.23,0.77,0.31,0.06
Government,0.46,0.54,0.11,0
Government,0.27,0.73,0.36,0.21
Government,0.61,0.39,0,0
Government,0.47,0.53,0,0
Government,0.64,0.36,0,0
Government,0.63,0.37,0,0.33
Government,,,0,0.31
Government,,,0,0
Government,,,0,0.12
Government,,,0,0.1
Government,,,0,0.17
Government,,,0,0
Government,,,0,0
Government,,,0.08,0.08
Government,,,0.14,0.14
Technology,0.75,0.25,0,0
Technology,0.31,0.69,0,0.17
Technology,0.43,0.57,0,0
Technology,0.42,0.58,0.24,0.24
Technology,0.25,0.75,0.18,0
Technology,0.43,0.57,0.2,0
Technology,0.46,0.54,0,0.11
Technology,0.52,0.48,0.16,0.16
Technology,0.54,0.46,0.09,0
Technology,0.44,0.56,0,0.19
Technology,0.55,0.45,0,0.13
Technology,0.28,0.72,0,0
Technology,0.47,0.53,0,0
Technology,0.49,0.51,0,0
Technology,0.32,0.68,0,0
Technology,0.42,0.58,0,0
Technology,0.36,0.64,0,0.15
Technology,0.5,0.5,0,0.21
Technology,0.57,0.43,0,0
Technology,0.36,0.64,0,0.63
Technology,0.6,0.4,0,0.25
Technology,0.33,0.67,0,0.18
Technology,0.4,0.6,0,0
Technology,0.45,0.55,0,0.34
Technology,0.3,0.7,0,0
Technology,0.54,0.46,0,0.2
Technology,0.42,0.58,0,0.22
Technology,0.29,0.71,0,0
Technology,0.41,0.59,0,0
Technology,0.45,0.55,0,0
Technology,0.57,0.43,0.29,0
Technology,0.47,0.53,0,0.14
Technology,0.52,0.48,0,0
Technology,0.33,0.67,0,0
Technology,0.62,0.38,0,0.55
Technology,0.38,0.62,0,0
Technology,0.29,0.71,0,0.25
Technology,0.31,0.69,0,0
Technology,0.4,0.6,0.26,0.26
Technology,0.68,0.32,0,0
Technology,0.41,0.59,0,0
Technology,0.61,0.39,0,0
Technology,0.48,0.52,0,0.28
Technology,0.42,0.58,0,0
Technology,0.59,0.41,0,0
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0,0
Technology,0.54,0.46,0,0
Technology,0.36,0.64,0,0
Technology,0.4,0.6,0,0.11
Technology,0.47,0.53,0,0.11
Technology,0.4,0.6,0,0
Technology,0.41,0.59,0.19,0
Technology,0.35,0.65,0,0
Technology,0.38,0.62,0,0
Technology,0.49,0.51,0,0
Technology,0.46,0.54,0.56,0
Technology,0.32,0.68,0,0
Technology,0.4,0.6,0.2,0
Technology,0.41,0.59,0,0
Technology,0.49,0.51,0,0
Technology,0.34,0.66,0,0.46
Technology,0.59,0.41,0,0
Technology,0.41,0.59,0,0
Technology,0.21,0.79,0,0
Technology,0.47,0.53,0.7,0
Technology,0.61,0.39,0,0
Technology,0.32,0.68,0.28,0.56
Technology,0.33,0.67,0,0
Technology,0.49,0.51,0.1,0.1
Technology,0.5,0.5,0.14,0.41
Technology,0.58,0.42,0,0.16
Technology,0.38,0.62,0,0.27
Technology,0.64,0.36,0,0
Technology,0.39,0.61,0,0
Technology,0.55,0.45,0.7,0.35
Technology,0.31,0.69,0,0
Technology,0.4,0.6,0,0.2
Technology,0.37,0.63,0,0
Technology,0.35,0.65,0,0
Technology,0.49,0.51,0,0
Technology,0.71,0.29,0,0.77
Technology,0.39,0.61,0,0.24
Technology,0.42,0.58,0,0
Technology,0.35,0.65,0,0
Technology,0.72,0.28,0,0.19
Technology,0.55,0.45,0.96,0
Technology,0.55,0.45,0,0
Technology,0.36,0.64,0,0
Technology,0.36,0.64,0,0.17
Technology,0.42,0.58,0,0
Technology,0.22,0.78,0,0.13
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0,0
Technology,0.47,0.53,0,0
Technology,0.29,0.71,0.34,0
Technology,0.33,0.67,0,0
Technology,0.41,0.59,0.2,0.2
Technology,0.23,0.77,0,0
Technology,0.44,0.56,0,0
Technology,0.35,0.65,0,0
Technology,0.31,0.69,0,0.17
Technology,0.37,0.63,0,0
Technology,0.36,0.64,0.24,0.24
Technology,0.3,0.7,0.18,0
Technology,0.46,0.54,0.2,0
Technology,0.4,0.6,0,0.11
Technology,0.38,0.62,0.16,0.16
Technology,0.35,0.65,0.09,0
Technology,0.26,0.74,0,0.19
Technology,0.46,0.54,0,0.13
Technology,0.35,0.65,0,0
Technology,0.32,0.68,0,0
Technology,0.3,0.7,0,0
Technology,0.32,0.68,0,0
Technology,0.35,0.65,0,0
