Industry,Female_Employee_Percentage,Male_Employee_Percentage
Government,0.26,0.74
Government,0.56,0.44
Government,0.49,0.51
Government,0.42,0.58
Government,0.42,0.58
Government,0.58,0.42
Government,0.32,0.68
Government,0.50,0.50
Government,0.50,0.50
Government,0.48,0.52
Government,0.46,0.54
Government,0.31,0.69
Government,0.57,0.43
Government,0.41,0.59
Government,0.44,0.56
Government,0.47,0.53
Government,0.67,0.33
Government,0.47,0.53
Government,0.45,0.55
Government,0.54,0.46
Government,0.47,0.53
Government,0.51,0.49
Government,0.43,0.57
Government,0.43,0.57
Government,0.60,0.40
Government,0.25,0.75
Government,0.40,0.60
Government,0.59,0.41
Government,0.50,0.50
Government,0.69,0.31
Government,0.23,0.77
Government,0.46,0.54
Government,0.27,0.73
Government,0.61,0.39
Government,0.47,0.53
Government,0.64,0.36
Government,0.63,0.37
Healthcare,0.71,0.29
Healthcare,0.78,0.22
Healthcare,0.74,0.26
Healthcare,0.29,0.71
Healthcare,0.35,0.65
Healthcare,0.59,0.41
Healthcare,0.47,0.53
Healthcare,0.53,0.47
Healthcare,0.48,0.52
Healthcare,0.63,0.37
Healthcare,0.43,0.57
Healthcare,0.74,0.26
Healthcare,0.74,0.26
Healthcare,0.65,0.35
Healthcare,0.41,0.59
Healthcare,0.65,0.35
Healthcare,0.63,0.37
Healthcare,0.70,0.30
Healthcare,0.51,0.49
Healthcare,0.38,0.62
Healthcare,0.48,0.52
Healthcare,0.46,0.54
Healthcare,0.38,0.62
Healthcare,0.56,0.44
Healthcare,0.68,0.32
Healthcare,0.30,0.70
Healthcare,0.37,0.63
Healthcare,0.64,0.36
Healthcare,0.67,0.33
Healthcare,0.63,0.37
Healthcare,0.77,0.23
Healthcare,0.66,0.34
Healthcare,0.69,0.31
Healthcare,0.40,0.60
Healthcare,0.76,0.24
Healthcare,0.41,0.59
Healthcare,0.48,0.52
Healthcare,0.65,0.35
Healthcare,0.46,0.54
Healthcare,0.56,0.44
Healthcare,0.58,0.42
Healthcare,0.77,0.23
Healthcare,0.44,0.56
Healthcare,0.70,0.30
Healthcare,0.72,0.28
Healthcare,0.70,0.30
Healthcare,0.39,0.61
Healthcare,0.35,0.65
Healthcare,0.71,0.29
Healthcare,0.43,0.57
Healthcare,0.67,0.33
Healthcare,0.69,0.31
Healthcare,0.74,0.26
Healthcare,0.79,0.21
Healthcare,0.53,0.47
Healthcare,0.44,0.56
Healthcare,0.70,0.30
Healthcare,0.77,0.23
Healthcare,0.47,0.53
Healthcare,0.37,0.63
Healthcare,0.61,0.39
Healthcare,0.73,0.27
Healthcare,0.59,0.41
Healthcare,0.75,0.25
Healthcare,0.55,0.45
Healthcare,0.69,0.31
Healthcare,0.65,0.35
Healthcare,0.71,0.29
Healthcare,0.65,0.35
Healthcare,0.74,0.26
Healthcare,0.60,0.40
Healthcare,0.48,0.52
Healthcare,0.48,0.52
Healthcare,0.76,0.24
Healthcare,0.49,0.51
Healthcare,0.77,0.23
Healthcare,0.72,0.28
Healthcare,0.72,0.28
Healthcare,0.37,0.63
Healthcare,0.37,0.63
Healthcare,0.44,0.56
Healthcare,0.79,0.21
Healthcare,0.49,0.51
Healthcare,0.44,0.56
Healthcare,0.63,0.37
Healthcare,0.75,0.25
Healthcare,0.44,0.56
Healthcare,0.75,0.25
Healthcare,0.74,0.26
Retail,0.64,0.36
Retail,0.47,0.53
Retail,0.70,0.30
Retail,0.27,0.73
Retail,0.44,0.56
Retail,0.50,0.50
Retail,0.52,0.48
Retail,0.55,0.45
Retail,0.52,0.48
Retail,0.30,0.70
Retail,0.58,0.42
Retail,0.45,0.55
Retail,0.62,0.38
